Room Name,Stakeholder
Patient Room 101,Patient
Patient Room 102,Patient
Patient Room 103,Patient
Patient Room 104,Patient
Patient Room 105,Patient
Emergency Room 201,Dr. John Smith (ER Specialist)
Emergency Room 201,Dr. Clara Bell (Gastroenterologist)
Emergency Room 201X,Dr. Clara Bell (Gastroenterologist)
ICU Room 202,Dr. Sarah Lee (ICU Specialist)
ICU Room 202,Nurse Robert Brown (ICU Nurse)
ICU Room 202,Dr. Clara Bell (Gastroenterologist)
Pediatric Room 203,Dr. Alice Lee (Pediatrician)
Pediatric Room 203,Nurse Mary Adams (Pediatric Nurse)
Pediatric Room 203,Dr. Clara Bell (Gastroenterologist)
Cardiology Room 204,Dr. James Davis (Cardiologist)
Cardiology Room 204,Nurse Rachel Perez (Cardiac Nurse)
Cardiology Room 204,Dr. Clara Bell (Gastroenterologist)
Oncology Room 205,Dr. Karen Brooks (Oncologist)
Oncology Room 205,Nurse Samuel Harris (Oncology Nurse)
Oncology Room 205,Nurse Lisa Scott (Gastro Nurse)
Maternity Room 301,Dr. Emily Thomas (Obstetrician)
Maternity Room 301,Nurse Patricia Clark (Maternity Nurse)
Maternity Room 301,Dr. Anna Lewis (Rehabilitation Specialist)
Orthopedic Room 302,Dr. Michael Brown (Orthopedic Surgeon)
Orthopedic Room 302,Nurse Katherine Scott (Orthopedic Nurse)
Orthopedic Room 302,Nurse Katherine Scott (Orthopedic Nurse)
Neurology Room 303,Dr. Edward King (Neurologist)
Neurology Room 303,Nurse Julia Miller (Neurology Nurse)
Neurology Room 303,Dr. Anna Lewis (Rehabilitation Specialist)
Surgical Room 304,Dr. John Harris (Surgeon)
Surgical Room 304,Nurse Laura Thomas (Surgical Nurse)
Surgical Room 304,Dr. Anna Lewis (Rehabilitation Specialist)
Gastroenterology Room 305,Dr. Clara Bell (Gastroenterologist)
Gastroenterology Room 305,Nurse Lisa Scott (Gastro Nurse)
Gastroenterology Room 305,Physical Therapist James Green (Rehab)
Psychiatric Room 401,Dr. Robert White (Psychiatrist)
Psychiatric Room 401,Nurse Hannah Gray (Psychiatric Nurse)
Psychiatric Room 401,Physical Therapist James Green (Rehab)
Rehabilitation Room 402,Dr. Anna Lewis (Rehabilitation Specialist)
Rehabilitation Room 402,Physical Therapist James Green (Rehab)
Rehabilitation Room 402,Technician Paul Brown (Radiology Tech)
X-ray Room 403,Dr. Linda Carter (Radiologist)
X-ray Room 403,Technician Paul Brown (Radiology Tech)
X-ray Room 403,Dr. John Scott (Radiologist)
CT Scan Room 404,Dr. John Scott (Radiologist)
CT Scan Room 404,Technician Lisa White (CT Tech)
CT Scan Room 404,Dr. John Scott (Radiologist)
MRI Room 405,Dr. Emily Johnson (Radiologist)
